@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,LOCATION,SUBJECT,MEASURE,FREQUENCY,Country,Subject,Measure,Frequency
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1962-Q1,1962-01-01,0.442249051840477,0.442249051840477,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1962-Q2,1962-04-01,0.444882404277633,0.444882404277633,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1962-Q3,1962-07-01,0.450347274953219,0.450347274953219,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1962-Q4,1962-10-01,0.474050814018013,0.474050814018013,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1963-Q1,1963-01-01,0.614018081796328,0.614018081796328,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1963-Q2,1963-04-01,0.509772214639439,0.509772214639439,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1963-Q3,1963-07-01,0.523180150446093,0.523180150446093,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1963-Q4,1963-10-01,0.520361803253459,0.520361803253459,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1964-Q1,1964-01-01,0.519860985601932,0.519860985601932,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1964-Q2,1964-04-01,0.502113259143758,0.502113259143758,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1964-Q3,1964-07-01,0.492173092054357,0.492173092054357,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1964-Q4,1964-10-01,0.465922659087106,0.465922659087106,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1965-Q1,1965-01-01,0.460320906947598,0.460320906947598,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1965-Q2,1965-04-01,0.442622698645194,0.442622698645194,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1965-Q3,1965-07-01,0.418074929020068,0.418074929020068,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1965-Q4,1965-10-01,0.39766588147028,0.39766588147028,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1966-Q1,1966-01-01,0.373774286554048,0.373774286554048,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1966-Q2,1966-04-01,0.387320836886012,0.387320836886012,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1966-Q3,1966-07-01,0.4647381796767,0.4647381796767,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1966-Q4,1966-10-01,0.664943712223918,0.664943712223918,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1967-Q1,1967-01-01,0.946419742990714,0.946419742990714,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1967-Q2,1967-04-01,1.52121077503042,1.52121077503042,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1967-Q3,1967-07-01,1.60012749829486,1.60012749829486,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1967-Q4,1967-10-01,1.43085616751155,1.43085616751155,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1968-Q1,1968-01-01,1.0889765660915,1.0889765660915,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1968-Q2,1968-04-01,1.1089052410928,1.1089052410928,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1968-Q3,1968-07-01,0.927472053523735,0.927472053523735,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1968-Q4,1968-10-01,0.762350784597182,0.762350784597182,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1969-Q1,1969-01-01,0.637453571445587,0.637453571445587,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1969-Q2,1969-04-01,0.543713852889541,0.543713852889541,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1969-Q3,1969-07-01,0.487607491368362,0.487607491368362,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1969-Q4,1969-10-01,0.45642650668413,0.45642650668413,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1970-Q1,1970-01-01,0.477199547323912,0.477199547323912,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
quarterly,OECD,MEI,Main Economic Indicators Publication,DEU.LRUNTTTT.STSA.Q,"Germany – Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons – Level, rate or national currency, s.a. – Quarterly",1970-Q2,1970-04-01,0.422336088837766,0.422336088837766,DEU,LRUNTTTT,STSA,Q,Germany,Labour Force Survey - quarterly rates > Unemployment rate > Aged 15 and over > All persons,"Level, rate or national currency, s.a.",Quarterly
